date,date,Portland_avg_price,SF_avg_price
2018-04-08,2018-04-08,65.8186819758402,134.8704259967231
2018-04-15,2018-04-15,66.05585228139783,135.11011195807527
2018-04-22,2018-04-22,66.25619834710744,141.16996813963152
2018-04-29,2018-04-29,66.69983534970291,138.07816745923913
2018-05-06,2018-05-06,66.94723532226095,140.45367669248566
2018-05-13,2018-05-13,67.33312368972746,143.13876932403758
2018-05-20,2018-05-20,68.9472589202122,145.9361292804925
2018-05-27,2018-05-27,69.01040771507687,149.856976227505
2018-06-03,2018-06-03,70.17300951427141,147.5390914709518
2018-06-10,2018-06-10,70.6454206382097,151.97267190254848
2018-06-17,2018-06-17,71.38109090909091,153.1403605447532
2018-06-24,2018-06-24,71.97542106535579,155.62082658022692
2018-07-01,2018-07-01,72.05147000239025,150.33810556760665
2018-07-08,2018-07-08,73.14696217042415,154.60201124936083
2018-07-15,2018-07-15,73.22962879130829,161.39460138104207
2018-07-22,2018-07-22,73.87165838656257,159.96649916247907
2018-07-29,2018-07-29,74.84992843999183,161.27507507507508
2018-08-05,2018-08-05,73.97161770039898,158.26468646864686
2018-08-12,2018-08-12,74.05378903274944,170.87923416789397
2018-08-19,2018-08-19,75.43703589108911,161.96766467065868
2018-08-26,2018-08-26,74.39442500846405,159.7729829115293
2018-09-02,2018-09-02,74.59721938253936,156.40801969750262
2018-09-09,2018-09-09,71.62218723955922,156.40348920576756
2018-09-16,2018-09-16,71.6255389968984,151.2713936430318
2018-09-23,2018-09-23,71.34984760652603,155.65126793788087
2018-09-30,2018-09-30,70.48385480458747,167.70182644411432
2018-10-07,2018-10-07,69.74667574076012,149.73358133243153
2018-10-14,2018-10-14,69.67959244830686,144.40015258439826
2018-10-21,2018-10-21,68.81200658828875,145.4316910627157
2018-10-28,2018-10-28,69.06621247604855,149.9983396226415
2018-11-04,2018-11-04,68.19095773403367,144.10675147520882
2018-11-11,2018-11-11,68.04506278164239,142.89080955036243
2018-11-18,2018-11-18,66.93013972055888,140.9839719509141
2018-11-25,2018-11-25,67.21354311447156,140.10920062825494
2018-12-02,2018-12-02,66.62529408940318,138.80023175784817
2018-12-09,2018-12-09,66.39971962616822,137.35972503314954
2018-12-16,2018-12-16,65.79767820236577,137.2083411469077
2018-12-23,2018-12-23,65.83442817144088,138.33252912127267
2018-12-30,2018-12-30,67.75441365602713,142.87979407979407
2019-01-06,2019-01-06,65.89095342599366,144.0292437355054
2019-01-13,2019-01-13,64.20528576148001,135.62354530340815
2019-01-20,2019-01-20,64.1095883483362,138.8049645390071
2019-01-27,2019-01-27,63.7756049055353,137.66600934852468
2019-02-03,2019-02-03,63.867442612350466,139.5304131599082
2019-02-10,2019-02-10,64.04457668379767,138.30058315838582
2019-02-17,2019-02-17,63.86777638190955,136.2701251442265
2019-02-24,2019-02-24,63.63980577762519,137.38539917142538
2019-03-03,2019-03-03,63.703250693889075,138.1460139263891
2019-03-10,2019-03-10,64.65893311483893,140.98689269486195
2019-03-17,2019-03-17,64.66252019386107,141.3687231599983
2019-03-24,2019-03-24,64.81885397412199,144.46754702270735
2019-03-31,2019-03-31,66.38944303326932,141.2918690213392
2019-04-07,2019-04-07,65.06623821363232,142.61910014707848
2019-04-14,2019-04-14,65.49206419381936,144.30374680009308
2019-04-21,2019-04-21,66.14428050307617,145.74794193148622
2019-04-28,2019-04-28,65.80911815743808,143.52429606748248
2019-05-05,2019-05-05,66.64079468835246,148.23073192239858
2019-05-12,2019-05-12,66.85091629519565,155.2487412907491
2019-05-19,2019-05-19,67.46698202459793,155.93287317561516
2019-05-26,2019-05-26,68.38372810264002,157.79488532770367
2019-06-02,2019-06-02,68.90716583796431,154.97893366952704
2019-06-09,2019-06-09,70.90314720812182,172.90503693008276
2019-06-16,2019-06-16,72.52801755669348,166.63521313211544
2019-06-23,2019-06-23,73.62720746590094,170.12015359180845
2019-06-30,2019-06-30,74.40241913563469,166.3535602541007
